City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
332,luwuk,-0.9516,122.7875,75.65,89,97,4.0,ID,1691521420
333,ishigaki,24.3448,124.1572,80.73,100,75,3.44,JP,1691521420
334,inirida,3.8653,-67.9239,91.0,53,40,2.15,CO,1691521420
335,whistler,50.1164,-122.9695,61.72,83,100,5.1,CA,1691521221
336,mumbwa,-14.9783,27.0619,67.14,39,8,7.18,ZM,1691521420
337,kerikeri,-35.2268,173.9474,43.18,92,22,3.91,NZ,1691521420
338,nizhniy kuranakh,58.8353,125.4869,59.58,76,96,3.06,RU,1691521420
339,saynshand,44.8824,110.1163,71.2,50,75,8.61,MN,1691521421
340,pizarro,4.9533,-77.366,83.14,78,100,8.03,CO,1691521421
341,toliara,-23.35,43.6667,70.14,78,91,3.22,MG,1691521421
342,port mathurin,-19.6833,63.4167,72.39,70,5,22.48,MU,1691521421
343,la sarre,48.8002,-79.1996,77.29,38,62,7.23,CA,1691521421
344,male,4.1748,73.5089,84.15,89,75,9.22,MV,1691521421
345,guerrero negro,27.9769,-114.0611,84.51,61,97,13.56,MX,1691521422
346,westport,41.1415,-73.3579,82.78,65,40,14.97,US,1691521411
347,uturoa,-16.7333,-151.4333,78.12,78,100,2.8,PF,1691521406
348,ocean city,39.2776,-74.5746,79.05,63,48,11.99,US,1691521422
349,pimentel,-6.8367,-79.9342,77.29,65,20,16.11,PE,1691521422
350,tres palos,18.1833,-101.6167,95.25,45,7,3.85,MX,1691521423
351,suva,-18.1416,178.4415,72.88,88,75,4.61,FJ,1691521423
352,cabinda,-5.55,12.2,75.34,83,0,4.61,AO,1691521423
353,reggane,26.7158,0.1714,104.5,10,0,11.16,DZ,1691521423
354,urengoy,65.9667,78.3667,58.91,65,24,3.78,RU,1691521423
355,la ronge,55.1001,-105.2842,61.05,67,75,6.91,CA,1691521407
356,taltal,-25.4,-70.4833,64.0,70,94,6.51,CL,1691521284
357,kapuskasing,49.4169,-82.4331,73.49,64,75,4.61,CA,1691521414
358,mino,34.8269,135.4706,82.83,71,100,13.8,JP,1691521424
359,souillac,-20.5167,57.5167,71.98,78,40,10.36,MU,1691521265
360,essaouira,31.5125,-9.77,78.3,89,20,10.36,MA,1691521424
361,tabas,33.5959,56.9244,93.42,21,0,11.5,IR,1691521424
362,noumea,-22.2763,166.4572,68.0,99,84,7.96,NC,1691521205
